"Berbers","Nederlands","niveau","woordsoort","anki_tag"
"řbanku","bank","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"řmeǧmaa","barbecue","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"ḍḏsas","Basis","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"qama","bed","C1","ww","tarifit::cefr::C1 tarifit::woordsoort::ww"
"ɛafak / cukran","Bedankt","A2","ww","tarifit::cefr::A2 tarifit::woordsoort::ww"
"ḏeř","bedekken","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"amesɛi","Bedelaar","B2","znw_m_ev","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev"
"ssexṣaa","bederven","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"řɣaraḏ","de bedoeling","B2","znw","tarifit::cefr::B2 tarifit::woordsoort::znw"
"hudd","bedreigen","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"ccarika","bedrijf","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"aɣarri","het bedrog","B2","znw_m_ev","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev"
"ḏaa","Been","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"ddubb","beer","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"řweḥc / abaɛoc","Beest","B2","znw_m_ev","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev"
"cway","een beetje (~ cwayt̲)","B1","znw","tarifit::cefr::B1 tarifit::woordsoort::znw"
"hḏa","begeleiden (religieus), grazen","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"ḇeddu","het begin","B2","znw","tarifit::cefr::B2 tarifit::woordsoort::znw"
"ḇḏa","beginnen","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"ndeř","begraven","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"ḥedd","begrenzen","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"fhem","begrijpen","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"sedǧem","Begroeten","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"mbra","Behalve","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"ḥḏaǧ","de behoefte","B1","znw","tarifit::cefr::B1 tarifit::woordsoort::znw"
"isawen","Behulpzaam","B2","znw_m_mv","tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv"
"s ṯnayn","Beide","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"ṯřima","de beitel","B2","znw","tarifit::cefr::B2 tarifit::woordsoort::znw"
"iṯwassen / meɛruf","bekend","B2","znw_m_mv","tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv"
"aniyna","Bel","B2","znw_m_ev","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev"
"muhimm","Belangrijk","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"ddariḇa","Belasting","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"kkʷua / sayer","beledigen, uitschelden","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"laḏab","beleefdheid","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"Bilǧik","België","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"semma","bellen","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"ɛaheḏ / qaweṛ","beloven","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"lisans","Benzine","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"maziɣ","Berber (M)","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"sewǧeḏ","Bereiden","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"aḏraa","berg","B2","znw_m_ev","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev"
"ṯizi","Bergpas (vallei), de vallei","B1","znw_v_mv","tarifit::cefr::B1 tarifit::woordsoort::znw_v_mv"
"ḥaseb","berispen, straffen","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"tub","berouw hebben","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"ḏarr","beschadigen","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"amesṯen","Bescherming","B2","znw_m_ev","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev"
"gg imi ḏi","beschuldigen","C1","ww","tarifit::cefr::C1 tarifit::woordsoort::ww"
"imexṯan","de besnijdenis","B2","znw_m_mv","tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv"
"iṛi","Bestaan (Hebben)","B1","znw_m_mv","tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv"
"mxeyyaa","het beste","B2","znw","tarifit::cefr::B2 tarifit::woordsoort::znw"
"aneḏḏah","Bestuurder","B2","znw_m_ev","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev"
"xedǧes'","betalen","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"aɛna","Betekenen","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"ḥsen","Beter","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"fḏeř","beter zijn","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"aɛǧeb","Bevallen (leuk vinden)","B2","ww","tarifit::cefr::B2 tarifit::woordsoort::ww"
"amaa","bevelen","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"ǧmeḏ","bevriezen","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
"ḏřeq / fekk","bevrijden, oplossen","B1","ww","tarifit::cefr::B1 tarifit::woordsoort::ww"
